ValidationRule,organisation_id,subsidiary_id,organisation_size,submission_period,packaging_activity,packaging_type,packaging_class,packaging_material,packaging_material_subtype,from_country,to_country,packaging_material_weight,packaging_material_units,Notes
PackType_HDC&PackActivity_not_OM&PackMaterial_PL|AL|ST|GL,org_id_placeholder,ABC123,L,2023-P2,SO,HDC,,PL,,,,25000,25000,Submission Id sould always be the same for the first two records
PackType_HDC&PackActivity_not_OM&PackMaterial_PL|AL|ST|GL,org_id_placeholder,ABC123,L,2023-P2,PF,HDC,,AL,,,,25000,25000,
PackType_HDC&PackActivity_not_OM&PackMaterial_PL|AL|ST|GL,org_id_placeholder,ABC123,L,2023-P2,IM,HDC,,ST,,,,25000,25000,
PackType_HDC&PackActivity_not_OM&PackMaterial_PL|AL|ST|GL,org_id_placeholder,ABC123,L,2023-P2,SE,HDC,,GL,,,,25000,25000,
PackType_HDC&PackActivity_not_OM&PackMaterial_PL|AL|ST|GL,org_id_placeholder,ABC123,L,2023-P2,HL,HDC,,PL,,,,25000,25000,
PackType_HH&PackActivity_not_OM&PackClass_P1|P3&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,SO,HH,P1,AL,,,,25000,,
PackType_HH&PackActivity_not_OM&PackClass_P1|P3&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,PF,HH,P3,FC,,,,25000,,
PackType_HH&PackActivity_not_OM&PackClass_P1|P3&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,IM,HH,P1,GL,,,,25000,,
PackType_HH&PackActivity_not_OM&PackClass_P1|P3&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,SE,HH,P3,PC,,,,25000,,
PackType_HH&PackActivity_not_OM&PackClass_P1|P3&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,HL,HH,P1,PL,,,,25000,,
PackType_HH&PackActivity_not_OM&PackClass_P1|P3&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,SO,HH,P1,ST,,,,25000,,
PackType_HH&PackActivity_not_OM&PackClass_P1|P3&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,PF,HH,P1,WD,,,,25000,,
PackType_HH&PackActivity_not_OM&PackClass_P1|P3&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,HL,HH,P1,OT,ceramic,,,25000,,
PackType_HH&PackActivity_OM&PackgClass_P6&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,OM,HH,P6,GL,,,,25000,,
PackType_NH&PackActivity_not_OM&PackClass_P1|P2|P3|P4&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,SO,NH,P1,AL,,,,25000,,
PackType_NH&PackActivity_not_OM&PackClass_P1|P2|P3|P4&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,PF,NH,P2,FC,,,,25000,,
PackType_NH&PackActivity_not_OM&PackClass_P1|P2|P3|P4&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,IM,NH,P3,GL,,,,25000,,
PackType_NH&PackActivity_not_OM&PackClass_P1|P2|P3|P4&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,SE,NH,P4,PC,,,,25000,,
PackType_NH&PackActivity_not_OM&PackClass_P1|P2|P3|P4&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,HL,NH,P1,PL,,,,25000,,
PackType_NH&PackActivity_not_OM&PackClass_P1|P2|P3|P4&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,IM,NH,P2,ST,,,,25000,,
PackType_NH&PackActivity_not_OM&PackClass_P1|P2|P3|P4&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,SE,NH,P3,WD,,,,25000,,
PackType_NH&PackActivity_not_OM&PackClass_P1|P2|P3|P4&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,HL,NH,P4,OT,bamboo,,,25000,,
PackType_NH&PackActivity_OM&PackgClass_P6&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,OM,NH,P6,GL,,,,25000,,
PackType_RU&PackActivity_not_OM&PackClass_P1|P5&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,SO,RU,P1,AL,,,,25000,,
PackType_RU&PackActivity_not_OM&PackClass_P1|P5&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,PF,RU,P5,FC,,,,25000,,
PackType_RU&PackActivity_not_OM&PackClass_P1|P5&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,IM,RU,P1,GL,,,,25000,,
PackType_RU&PackActivity_not_OM&PackClass_P1|P5&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,SE,RU,P5,PC,,,,25000,,
PackType_RU&PackActivity_not_OM&PackClass_P1|P5&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,HL,RU,P1,PL,,,,25000,,
PackType_RU&PackActivity_not_OM&PackClass_P1|P5&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,IM,RU,P5,ST,,,,25000,,
PackType_RU&PackActivity_not_OM&PackClass_P1|P5&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,SE,RU,P1,WD,,,,25000,,
PackType_RU&PackActivity_not_OM&PackClass_P1|P5&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,HL,RU,P5,OT,copper,,,25000,,
PackType_NDC&PackActivity_not_OM&PackMaterial_PL|AL|ST|GL,org_id_placeholder,ABC123,L,2023-P2,SO,NDC,,PL,,,,25000,25000,
PackType_NDC&PackActivity_not_OM&PackMaterial_PL|AL|ST|GL,org_id_placeholder,ABC123,L,2023-P2,PF,NDC,,AL,,,,25000,25000,
PackType_NDC&PackActivity_not_OM&PackMaterial_PL|AL|ST|GL,org_id_placeholder,ABC123,L,2023-P2,IM,NDC,,ST,,,,25000,25000,
PackType_NDC&PackActivity_not_OM&PackMaterial_PL|AL|ST|GL,org_id_placeholder,ABC123,L,2023-P2,SE,NDC,,GL,,,,25000,25000,
PackType_NDC&PackActivity_not_OM&PackMaterial_PL|AL|ST|GL,org_id_placeholder,ABC123,L,2023-P2,HL,NDC,,GL,,,,25000,25000,
PackType_PB&PackActivity_not_OM&PackClass_B1&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,SO,PB,B1,AL,,,,25000,,
PackType_PB&PackActivity_not_OM&PackClass_B1&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,PF,PB,B1,FC,,,,25000,,
PackType_PB&PackActivity_not_OM&PackClass_B1&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,IM,PB,B1,GL,,,,25000,,
PackType_PB&PackActivity_not_OM&PackClass_B1&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,SE,PB,B1,PC,,,,25000,,
PackType_PB&PackActivity_not_OM&PackClass_B1&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,HL,PB,B1,PL,,,,25000,,
PackType_PB&PackActivity_not_OM&PackClass_B1&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,IM,PB,B1,ST,,,,25000,,
PackType_PB&PackActivity_not_OM&PackClass_B1&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,SE,PB,B1,WD,,,,25000,,
PackType_PB&PackActivity_not_OM&PackClass_B1&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,HL,PB,B1,OT,hemp,,,25000,,
PackType_OW&PackActivity_blank&PackClass_O2&PackMaterial_any,org_id_placeholder,12AB34CDABC12356,L,2023-P2,,OW,O2,AL,,EN,,25000,,
PackType_OW&PackActivity_blank&PackClass_O2&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,,OW,O2,FC,,EN,,25000,,This record should present as there is dependecy between this one and the next one (organisation id and packaging material should be the same)
PackType_OW&PackActivity_blank&PackClass_O2&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,,OW,O2,FC,,EN,WS,25000,,
PackType_OW&PackActivity_blank&PackClass_O2&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,,OW,O2,GL,,WS,,25000,,
PackType_OW&PackActivity_blank&PackClass_O2&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,,OW,O2,PC,,WS,,25000,,This record should present as there is dependecy between this one and the next one (organisation id and packaging material should be the same)
PackType_OW&PackActivity_blank&PackClass_O2&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,,OW,O2,PC,,WS,NI,25000,,
PackType_OW&PackActivity_blank&PackClass_O2&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,,OW,O2,PL,,NI,,25000,,
PackType_OW&PackActivity_blank&PackClass_O2&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,,OW,O2,ST,,NI,,25000,,This record should present as there is dependecy between this one and the next one (organisation id and packaging material should be the same)
PackType_OW&PackActivity_blank&PackClass_O2&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,,OW,O2,ST,,NI,SC,25000,,
PackType_OW&PackActivity_blank&PackClass_O2&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,,OW,O2,WD,,SC,,25000,,
PackType_OW&PackActivity_blank&PackClass_O2&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,,OW,O2,OT,rubber,SC,,25000,,This record should present as there is dependecy between this one and the next one (organisation id and packaging material should be the same)
PackType_OW&PackActivity_blank&PackClass_O2&PackMaterial_any,org_id_placeholder,ABC123,L,2023-P2,,OW,O2,OT,rubber,SC,EN,25000,,
PackType_CW&PackActivity_blank&PackClass_O1&PackMaterial_FC|PL|WD|OT,org_id_placeholder,ABC123,L,2023-P2,,CW,O1,FC,,EN,,25000,,This record should present as there is dependecy between this one and the next one (organisation id and packaging material should be the same)
PackType_CW&PackActivity_blank&PackClass_O1&PackMaterial_FC|PL|WD|OT,org_id_placeholder,ABC123,L,2023-P2,,CW,O1,FC,,EN,WS,25000,,
PackType_CW&PackActivity_blank&PackClass_O1&PackMaterial_FC|PL|WD|OT,org_id_placeholder,ABC123,L,2023-P2,,CW,O1,PL,,NI,,25000,,
PackType_CW&PackActivity_blank&PackClass_O1&PackMaterial_FC|PL|WD|OT,org_id_placeholder,ABC123,L,2023-P2,,CW,O1,WD,,SC,,25000,,
PackType_CW&PackActivity_blank&PackClass_O1&PackMaterial_FC|PL|WD|OT,org_id_placeholder,ABC123,L,2023-P2,,CW,O1,OT,silicone,SC,,25000,,This record should present as there is dependecy between this one and the next one (organisation id and packaging material should be the same)
PackType_CW&PackActivity_blank&PackClass_O1&PackMaterial_FC|PL|WD|OT,org_id_placeholder,ABC123,L,2023-P2,,CW,O1,OT,silicone,SC,EN,25000,,
